# Epoch,Total Loss,Schrodinger0,normalization0,correlations0,energy_difference0,energy_minimization0,Schrodinger1,normalization1,correlations1,energy_difference1,energy_minimization1,Schrodinger2,normalization2,correlations2,energy_difference2,energy_minimization2,Schrodinger3,normalization3,correlations3,energy_difference3,energy_minimization3
0.000000,12.087030,0.599973,0.007693,0.000000,0.000000,0.000000,2.401105,0.000041,0.000000,0.000000,0.000000,4.012251,0.026503,0.000026,0.000000,0.000000,4.936848,0.009694,0.000067,0.000000,0.000000
100.000000,9.063084,0.555967,0.290176,0.000000,0.000000,0.000026,1.837762,0.187090,0.000002,0.138621,0.000070,3.116959,0.128933,0.000010,0.526166,0.000640,2.796774,0.045638,0.000092,0.822341,0.000003
200.000000,5.579196,0.444696,0.094591,0.000000,0.000000,0.000014,1.807368,0.093212,0.000001,0.109145,0.000098,1.912713,0.007313,0.000012,0.004880,0.000364,1.161698,0.000596,0.000044,0.992085,0.002551
300.000000,4.977165,0.415381,0.053572,0.000000,0.000000,0.000015,1.844607,0.069572,0.000000,0.254783,0.000011,1.753386,0.000488,0.000011,0.028270,0.000411,0.816090,0.001522,0.000011,0.994629,0.001165
400.000000,4.757054,0.414093,0.032998,0.000000,0.000000,0.000077,1.616887,0.073126,0.000000,0.751483,0.000213,1.940413,0.007886,0.000005,0.333451,0.000081,0.644907,0.005131,0.000016,0.991858,0.000109
500.000000,3.833980,0.421513,0.019580,0.000000,0.000000,0.000021,1.065641,0.072259,0.000001,2.082402,0.000259,1.689409,0.000303,0.000003,0.811747,0.000533,0.553782,0.000488,0.000007,0.984983,0.001482
600.000000,3.024973,0.394048,0.011295,0.000000,0.000000,0.000036,0.724889,0.045758,0.000000,3.517331,0.000178,1.304441,0.000101,0.000003,0.927439,0.000759,0.531601,0.005287,0.000004,0.973050,0.001959
700.000000,3.071261,0.439907,0.008983,0.000000,0.000000,0.000001,0.403400,0.021933,0.000001,4.807948,0.000004,1.265382,0.006201,0.000008,0.966172,0.000631,0.906112,0.003226,0.000006,0.959404,0.000651
800.000000,1.978605,0.409924,0.005338,0.000000,0.000000,0.000072,0.301321,0.013519,0.000000,5.406792,0.000079,0.759236,0.000924,0.000004,0.975910,0.001216,0.473880,0.001458,0.000009,0.951201,0.001613
900.000000,1.924787,0.547218,0.006293,0.000000,0.000000,0.000024,0.174324,0.006344,0.000000,5.081566,0.000061,0.699795,0.003485,0.000001,0.975816,0.000922,0.480466,0.000508,0.000005,0.946337,0.001116
1000.000000,2.561858,0.456640,0.003051,0.000000,0.000000,0.000016,0.237706,0.007262,0.000002,4.936112,0.000002,1.390777,0.005772,0.000001,0.976403,0.000014,0.444926,0.001173,0.000012,0.942122,0.000041
1100.000000,2.595592,0.358498,0.002897,0.000000,0.000000,0.000134,0.606295,0.004033,0.000002,4.782243,0.000151,0.886666,0.003958,0.000004,0.977320,0.001445,0.705781,0.000335,0.000021,0.942592,0.002386
1200.000000,1.847715,0.344335,0.001217,0.000000,0.000000,0.000024,0.182625,0.005604,0.000000,4.821998,0.000050,0.845650,0.004266,0.000000,0.977631,0.000467,0.458865,0.000134,0.000004,0.942173,0.000976
1300.000000,2.098179,0.361750,0.005516,0.000000,0.000000,0.000038,0.206920,0.008511,0.000001,4.409016,0.000037,0.742526,0.012758,0.000001,0.978450,0.000255,0.750054,0.000013,0.000008,0.933956,0.000377
1400.000000,1.831151,0.360658,0.001180,0.000000,0.000000,0.000054,0.279411,0.002976,0.000000,4.663597,0.000059,0.787072,0.000759,0.000001,0.978108,0.000879,0.395764,0.000350,0.000002,0.942648,0.001709
1500.000000,3.207063,0.739708,0.003118,0.000000,0.000000,0.000131,0.320198,0.005123,0.000008,4.377468,0.000110,1.028866,0.001454,0.000007,0.977850,0.001039,1.085547,0.000494,0.000007,0.940436,0.001627
1600.000000,2.226258,0.716986,0.006870,0.000000,0.000000,0.000014,0.385136,0.005187,0.000004,4.257632,0.000007,0.698756,0.001796,0.000000,0.976906,0.000048,0.403059,0.000002,0.000004,0.939177,0.000063
1700.000000,2.070073,0.351667,0.010503,0.000000,0.000000,0.000023,0.220937,0.017500,0.000000,3.874678,0.000034,1.050570,0.003690,0.000001,0.978128,0.000369,0.408099,0.000040,0.000006,0.929048,0.000730
1800.000000,1.728436,0.557439,0.002000,0.000000,0.000000,0.000036,0.170310,0.001253,0.000001,4.235945,0.000057,0.639953,0.001676,0.000001,0.976828,0.000778,0.350094,0.000310,0.000004,0.938961,0.001769
1900.000000,2.017234,0.379372,0.001312,0.000000,0.000000,0.000009,0.208968,0.005758,0.000001,4.164900,0.000005,0.780521,0.000102,0.000002,0.977510,0.000007,0.629866,0.000283,0.000008,0.938287,0.000012
2000.000000,7.841179,0.487456,0.002858,0.000000,0.000000,0.000008,2.236634,0.001799,0.000021,4.011328,0.000040,0.689263,0.010380,0.000002,0.977550,0.000295,4.367687,0.001848,0.000021,0.936392,0.000523
2100.000000,2.024047,0.345416,0.010218,0.000000,0.000000,0.000021,0.180840,0.004060,0.000000,3.516007,0.000014,1.031238,0.032679,0.000002,0.979120,0.000179,0.385751,0.003322,0.000029,0.925155,0.000378
2200.000000,2.018803,0.767596,0.001572,0.000000,0.000000,0.000066,0.346987,0.003628,0.000001,4.040293,0.000059,0.583205,0.001318,0.000000,0.977615,0.000251,0.307631,0.002218,0.000003,0.940283,0.000367
2300.000000,1.641565,0.363492,0.018218,0.000000,0.000000,0.000007,0.255177,0.004961,0.000000,3.513244,0.000022,0.624904,0.000500,0.000003,0.977421,0.000237,0.366177,0.002177,0.000003,0.935338,0.000516
2400.000000,1.635996,0.439169,0.007611,0.000000,0.000000,0.000010,0.306293,0.003829,0.000001,3.781522,0.000014,0.562105,0.003227,0.000001,0.977873,0.000361,0.288571,0.002467,0.000021,0.940659,0.000838
2500.000000,3.867143,1.527092,0.008945,0.000000,0.000000,0.000248,0.523503,0.006360,0.000000,3.734776,0.000122,0.886172,0.014937,0.000008,0.978236,0.000218,0.881428,0.004587,0.000006,0.940283,0.000442
2600.000000,3.344325,1.877921,0.010035,0.000000,0.000000,0.000025,0.170439,0.003924,0.000003,3.900098,0.000007,0.925511,0.000082,0.000007,0.977147,0.000010,0.324381,0.009782,0.000012,0.945873,0.000068
2700.000000,1.308890,0.367476,0.004038,0.000000,0.000000,0.000016,0.162980,0.028606,0.000000,3.835610,0.000022,0.512116,0.000499,0.000007,0.976679,0.000324,0.216159,0.003697,0.000006,0.946339,0.000480
2800.000000,1.590305,0.389593,0.051681,0.000000,0.000000,0.000525,0.239341,0.002227,0.000000,2.473832,0.000123,0.461705,0.000020,0.000003,0.978551,0.001200,0.426247,0.003617,0.000013,0.924364,0.003424
2900.000000,1.120324,0.331282,0.003629,0.000000,0.000000,0.000000,0.136438,0.002273,0.000000,4.221828,0.000030,0.386256,0.000160,0.000001,0.976621,0.000253,0.247229,0.009570,0.000003,0.951662,0.000720
3000.000000,1.311487,0.312215,0.003470,0.000000,0.000000,0.000091,0.292637,0.029836,0.000002,3.922611,0.000152,0.389427,0.000012,0.000000,0.976260,0.000693,0.274588,0.005372,0.000002,0.947354,0.001365
3100.000000,1.265756,0.367019,0.004503,0.000000,0.000000,0.000035,0.302292,0.002043,0.000000,3.976437,0.000069,0.393320,0.000001,0.000004,0.977035,0.000098,0.185348,0.003765,0.000004,0.950648,0.000218
3200.000000,4.510803,0.337889,0.003925,0.000000,0.000000,0.000143,0.151905,0.001732,0.000001,4.068796,0.000196,0.430584,0.000663,0.000006,0.977257,0.000324,3.489422,0.061851,0.000025,0.950355,0.000480
3300.000000,1.005540,0.299072,0.006025,0.000000,0.000000,0.000054,0.223015,0.004548,0.000000,3.805254,0.000127,0.306034,0.000006,0.000002,0.976549,0.000422,0.150612,0.010830,0.000004,0.949028,0.001005
3400.000000,1.068463,0.299391,0.002836,0.000000,0.000000,0.000006,0.214393,0.050399,0.000000,3.910523,0.000002,0.349445,0.000030,0.000003,0.976814,0.000041,0.140266,0.005790,0.000003,0.950831,0.000161
3500.000000,1.344653,0.280667,0.014257,0.000000,0.000000,0.000062,0.208801,0.025313,0.000000,3.529595,0.000003,0.332763,0.000370,0.000001,0.977513,0.000036,0.456105,0.013138,0.000012,0.945112,0.000293
3600.000000,0.989128,0.358797,0.010146,0.000000,0.000000,0.000105,0.245273,0.001267,0.000000,3.784360,0.000063,0.233990,0.000541,0.000000,0.977162,0.000067,0.130345,0.007464,0.000001,0.951705,0.000130
3700.000000,1.744397,0.536741,0.007692,0.000000,0.000000,0.000006,0.114347,0.018995,0.000000,3.949576,0.000022,0.612813,0.000025,0.000003,0.976955,0.000379,0.428498,0.008708,0.000013,0.953875,0.000934
